connector_id,connector_x,connector_y,connector_z,confidence,creation_time,edition_time,tags,type,creator,editor,skeleton_id,neuron_id,name,post_x,post_y,post_z,node_id,annotations,cube,other_annotations,user,user_id,project_id,transaction_id,execution_time,label
2125008,68760.0,55896.0,102728.0,5,2025-03-05 11:44:53.264506,2025-03-05 11:44:53.264506,,Postsynaptic,shiyan,shiyan,620449,620449,neuron 620450,68776.0,55856.0,102568.0,3,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'ngc: Pre Correct', 'sw correct', 'sy correct']",cube1,"['ngc: Pre Correct', 'sw correct', 'sy correct']",nceffa,26,19,2503288,2025-03-06 17:34:56.336643+00:00,annotations.add
2125008,68760.0,55896.0,102728.0,5,2025-03-05 11:44:53.264506,2025-03-05 11:44:53.264506,,Postsynaptic,shiyan,shiyan,620449,620449,neuron 620450,68776.0,55856.0,102568.0,3,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'ngc: Pre Correct', 'sw correct', 'sy correct']",cube1,"['ngc: Pre Correct', 'sw correct', 'sy correct']",shiyan,38,19,2503075,2025-03-06 17:26:52.918870+00:00,annotations.add
2125008,68760.0,55896.0,102728.0,5,2025-03-05 11:44:53.264506,2025-03-05 11:44:53.264506,,Postsynaptic,shiyan,shiyan,620449,620449,neuron 620450,68776.0,55856.0,102568.0,3,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'ngc: Pre Correct', 'sw correct', 'sy correct']",cube1,"['ngc: Pre Correct', 'sw correct', 'sy correct']",swilson,44,19,2503039,2025-03-06 17:25:09.371431+00:00,annotations.add
2125009,68760.0,55928.0,102712.0,5,2025-03-05 11:44:53.352034,2025-03-05 11:44:53.352034,,Postsynaptic,shiyan,shiyan,620453,620453,neuron 620454,68744.0,55776.0,102616.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw uncertain', 'sy wrong', 'ngc: Distanced Set']",cube1,"['sw uncertain', 'sy wrong', 'ngc: Distanced Set']",nceffa,26,19,2503401,2025-03-06 17:41:03.872753+00:00,annotations.add
2125009,68760.0,55928.0,102712.0,5,2025-03-05 11:44:53.352034,2025-03-05 11:44:53.352034,,Postsynaptic,shiyan,shiyan,620453,620453,neuron 620454,68744.0,55776.0,102616.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw uncertain', 'sy wrong', 'ngc: Distanced Set']",cube1,"['sw uncertain', 'sy wrong', 'ngc: Distanced Set']",shiyan,38,19,2503353,2025-03-06 17:37:58.009333+00:00,annotations.add
2125009,68760.0,55928.0,102712.0,5,2025-03-05 11:44:53.352034,2025-03-05 11:44:53.352034,,Postsynaptic,shiyan,shiyan,620453,620453,neuron 620454,68744.0,55776.0,102616.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw uncertain', 'sy wrong', 'ngc: Distanced Set']",cube1,"['sw uncertain', 'sy wrong', 'ngc: Distanced Set']",swilson,44,19,2503174,2025-03-06 17:29:52.447547+00:00,annotations.add
2125010,68760.0,55920.0,102728.0,5,2025-03-05 11:44:53.444492,2025-03-05 11:44:53.444492,,Postsynaptic,shiyan,shiyan,620457,620457,neuron 620458,68896.0,55840.0,102720.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw distance', 'ngc: Pre Correct', 'sy correct']",cube1,"['sw distance', 'ngc: Pre Correct', 'sy correct']",nceffa,26,19,2503433,2025-03-06 17:44:11.283286+00:00,annotations.add
2125010,68760.0,55920.0,102728.0,5,2025-03-05 11:44:53.444492,2025-03-05 11:44:53.444492,,Postsynaptic,shiyan,shiyan,620457,620457,neuron 620458,68896.0,55840.0,102720.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw distance', 'ngc: Pre Correct', 'sy correct']",cube1,"['sw distance', 'ngc: Pre Correct', 'sy correct']",shiyan,38,19,2503362,2025-03-06 17:38:34.902725+00:00,annotations.add
2125010,68760.0,55920.0,102728.0,5,2025-03-05 11:44:53.444492,2025-03-05 11:44:53.444492,,Postsynaptic,shiyan,shiyan,620457,620457,neuron 620458,68896.0,55840.0,102720.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw distance', 'ngc: Pre Correct', 'sy correct']",cube1,"['sw distance', 'ngc: Pre Correct', 'sy correct']",swilson,44,19,2503198,2025-03-06 17:30:59.734827+00:00,annotations.add
2125011,68920.0,55992.0,102920.0,5,2025-03-05 11:44:53.529715,2025-03-05 11:44:53.529715,,Postsynaptic,shiyan,shiyan,620461,620461,neuron 620462,68960.0,55952.0,102952.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw uncertain', 'ngc: Distanced Set', 'sy distanced']",cube1,"['sw uncertain', 'ngc: Distanced Set', 'sy distanced']",nceffa,26,19,2503609,2025-03-06 17:53:34.430788+00:00,annotations.add
2125011,68920.0,55992.0,102920.0,5,2025-03-05 11:44:53.529715,2025-03-05 11:44:53.529715,,Postsynaptic,shiyan,shiyan,620461,620461,neuron 620462,68960.0,55952.0,102952.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw uncertain', 'ngc: Distanced Set', 'sy distanced']",cube1,"['sw uncertain', 'ngc: Distanced Set', 'sy distanced']",shiyan,38,19,2503414,2025-03-06 17:42:24.930186+00:00,annotations.add
2125011,68920.0,55992.0,102920.0,5,2025-03-05 11:44:53.529715,2025-03-05 11:44:53.529715,,Postsynaptic,shiyan,shiyan,620461,620461,neuron 620462,68960.0,55952.0,102952.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw uncertain', 'ngc: Distanced Set', 'sy distanced']",cube1,"['sw uncertain', 'ngc: Distanced Set', 'sy distanced']",swilson,44,19,2503231,2025-03-06 17:32:33.405779+00:00,annotations.add
2125012,68840.0,55536.0,103232.0,5,2025-03-05 11:44:53.618438,2025-03-05 11:44:53.618438,,Postsynaptic,shiyan,shiyan,620465,620465,neuron 620466,68920.0,55552.0,103144.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw distance', 'ngc: Distanced Set', 'sy distanced']",cube1,"['sw distance', 'ngc: Distanced Set', 'sy distanced']",nceffa,26,19,2503638,2025-03-06 17:54:48.637350+00:00,annotations.add
2125012,68840.0,55536.0,103232.0,5,2025-03-05 11:44:53.618438,2025-03-05 11:44:53.618438,,Postsynaptic,shiyan,shiyan,620465,620465,neuron 620466,68920.0,55552.0,103144.0,0,"['pushed false positives synapses', 'cube1MBONj2: pushed fp synapses', 'sw distance', 'ngc: Distanced Set', 'sy distanced']",cube1,"['sw distance', 'ngc: Distanced Set', 'sy distanced']",shiyan,38,19,2503449,2025-03-06 17:44:49.528320+00:00,annotations.add
