connector_id,connector_x,connector_y,connector_z,confidence,creation_time,edition_time,tags,type,creator,editor,skeleton_id,neuron_id,name,post_x,post_y,post_z,node_id,annotations,cube,other_annotations,user,user_id,project_id,transaction_id,execution_time,label
2109743,48800.0,27000.0,59824.0,5,2025-02-20 14:07:01.100636,2025-02-20 14:07:01.100636,,Postsynaptic,shiyan,shiyan,605584,605584,neuron 605585,48768.0,26944.0,59896.0,1,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",cube3,"['pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",acorreia,9,18,2524454,2025-03-17 18:31:08.525347+00:00,annotations.add
2109743,48800.0,27000.0,59824.0,5,2025-02-20 14:07:01.100636,2025-02-20 14:07:01.100636,,Postsynaptic,shiyan,shiyan,605584,605584,neuron 605585,48768.0,26944.0,59896.0,1,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",cube3,"['pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",mrobbins,39,18,2524236,2025-03-17 17:41:46.868989+00:00,annotations.add
2109743,48800.0,27000.0,59824.0,5,2025-02-20 14:07:01.100636,2025-02-20 14:07:01.100636,,Postsynaptic,shiyan,shiyan,605584,605584,neuron 605585,48768.0,26944.0,59896.0,1,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",cube3,"['pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",sharris,47,18,2524220,2025-03-17 17:39:35.823846+00:00,annotations.add
2109744,48824.0,26984.0,59832.0,5,2025-02-20 14:13:29.047083,2025-02-20 14:13:29.047083,,Postsynaptic,shiyan,shiyan,605588,605588,neuron 605589,48880.0,26968.0,59984.0,0,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",cube3,"['pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",acorreia,9,18,2524456,2025-03-17 18:31:38.691690+00:00,annotations.add
2109744,48824.0,26984.0,59832.0,5,2025-02-20 14:13:29.047083,2025-02-20 14:13:29.047083,,Postsynaptic,shiyan,shiyan,605588,605588,neuron 605589,48880.0,26968.0,59984.0,0,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",cube3,"['pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",mclayton,23,18,2524353,2025-03-17 17:56:52.415249+00:00,annotations.add
2109744,48824.0,26984.0,59832.0,5,2025-02-20 14:13:29.047083,2025-02-20 14:13:29.047083,,Postsynaptic,shiyan,shiyan,605588,605588,neuron 605589,48880.0,26968.0,59984.0,0,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",cube3,"['pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",adulac,18,18,2524288,2025-03-17 17:46:40.697291+00:00,annotations.add
2109744,48824.0,26984.0,59832.0,5,2025-02-20 14:13:29.047083,2025-02-20 14:13:29.047083,,Postsynaptic,shiyan,shiyan,605588,605588,neuron 605589,48880.0,26968.0,59984.0,0,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",cube3,"['pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",mrobbins,39,18,2524244,2025-03-17 17:42:18.077161+00:00,annotations.add
2109744,48824.0,26984.0,59832.0,5,2025-02-20 14:13:29.047083,2025-02-20 14:13:29.047083,,Postsynaptic,shiyan,shiyan,605588,605588,neuron 605589,48880.0,26968.0,59984.0,0,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",cube3,"['pre correct', 'mc: wrong set', 'sh: distanced set', 'ad: wrong set', 'ac: incorrect', 'acs: wrong set', 'mr: uncertain']",sharris,47,18,2524224,2025-03-17 17:40:32.873104+00:00,annotations.add
2109745,48740.0,27052.0,59824.0,5,2025-02-20 14:13:29.152562,2025-02-26 09:38:10.730990,,Postsynaptic,shiyan,shiyan,605592,605592,neuron 605593,48632.0,27032.0,59816.0,0,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'ad: pre correct', 'mc: pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",cube3,"['pre correct', 'ad: pre correct', 'mc: pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",acorreia,9,18,2524458,2025-03-17 18:31:51.597074+00:00,annotations.add
2109745,48740.0,27052.0,59824.0,5,2025-02-20 14:13:29.152562,2025-02-26 09:38:10.730990,,Postsynaptic,shiyan,shiyan,605592,605592,neuron 605593,48632.0,27032.0,59816.0,0,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'ad: pre correct', 'mc: pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",cube3,"['pre correct', 'ad: pre correct', 'mc: pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",mclayton,23,18,2524357,2025-03-17 17:58:12.032407+00:00,annotations.add
2109745,48740.0,27052.0,59824.0,5,2025-02-20 14:13:29.152562,2025-02-26 09:38:10.730990,,Postsynaptic,shiyan,shiyan,605592,605592,neuron 605593,48632.0,27032.0,59816.0,0,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'ad: pre correct', 'mc: pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",cube3,"['pre correct', 'ad: pre correct', 'mc: pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",adulac,18,18,2524292,2025-03-17 17:47:27.242510+00:00,annotations.add
2109745,48740.0,27052.0,59824.0,5,2025-02-20 14:13:29.152562,2025-02-26 09:38:10.730990,,Postsynaptic,shiyan,shiyan,605592,605592,neuron 605593,48632.0,27032.0,59816.0,0,"['cube3: pushed fp synapses', 'pushed false positives synapses', 'pre correct', 'ad: pre correct', 'mc: pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",cube3,"['pre correct', 'ad: pre correct', 'mc: pre correct', 'sh: pre correct', 'ac: correct', 'acs: pre correct', 'mr: pre correct']",mrobbins,39,18,2524252,2025-03-17 17:43:25.572673+00:00,annotations.add
